               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 132,            0.020964,           0.0083161,            0.013998,             0.84461,             0.58972,             0.69305,             0.61354,            0.025197,           0.0035427,            0.012529,            0.005677,            0.005677,            0.005677
                 133,            0.019649,           0.0082587,            0.013618,             0.77819,             0.60292,             0.70204,             0.62476,            0.026573,           0.0033673,            0.014473,            0.005644,            0.005644,            0.005644
                 134,            0.018583,           0.0070838,            0.012969,             0.82647,             0.57318,             0.72831,             0.64304,             0.02722,            0.003326,            0.015954,            0.005611,            0.005611,            0.005611
                 135,             0.02045,           0.0080113,            0.012459,             0.85203,             0.55146,             0.61207,             0.54456,            0.028932,           0.0040784,            0.019077,            0.005578,            0.005578,            0.005578
                 136,            0.020966,           0.0071648,            0.014413,              0.8271,             0.59204,             0.61263,              0.5402,            0.027402,            0.004278,            0.016385,            0.005545,            0.005545,            0.005545
                 137,            0.022984,            0.007126,            0.015031,             0.80613,             0.64422,             0.64799,             0.57843,            0.027333,           0.0046462,            0.012312,            0.005512,            0.005512,            0.005512
                 138,            0.020296,           0.0076524,            0.011127,             0.77653,             0.64289,             0.65956,             0.58432,            0.025507,           0.0039463,            0.013074,            0.005479,            0.005479,            0.005479
                 139,            0.020043,           0.0080151,            0.010198,             0.85154,             0.67975,             0.77473,             0.70106,            0.025405,           0.0035921,            0.013934,            0.005446,            0.005446,            0.005446
                 140,            0.018015,           0.0066856,            0.013136,             0.80379,             0.67936,             0.70412,             0.63775,            0.025356,           0.0041651,            0.014059,            0.005413,            0.005413,            0.005413
                 141,            0.019994,           0.0070021,            0.014996,             0.80993,             0.61014,             0.64922,             0.58075,            0.026507,           0.0035772,            0.014894,             0.00538,             0.00538,             0.00538
                 142,            0.019392,           0.0071418,            0.013335,             0.83131,             0.54835,             0.67451,             0.61935,            0.025581,            0.003678,            0.017162,            0.005347,            0.005347,            0.005347
                 143,            0.019026,           0.0086872,            0.011239,             0.78329,             0.57918,             0.62002,             0.55705,            0.026523,           0.0040369,            0.017201,            0.005314,            0.005314,            0.005314
